filename,analyzed_at,duration_sec,viral_score,niche,content_format,pacing,cuts,hook_formats,tempo_bpm,detected_key,audio_mood,audio_type,face_ratio,eye_contact_ratio,text_ratio,avg_brightness,avg_saturation,avg_motion,harmony_pct,speaking_style,transcript_words,speaking_rate_wpm,silence_ratio
reel_24600likes_AQO_x26ajIzQSPChzXMv.mp4,2026-02-20T17:30:53.212335,6.57,18,education,direct_to_camera,slow,0,,103.4,F major,unknown,unknown,0.714,0.429,0.714,108.486,100.986,3.583,62.1,slow_dramatic,8,73.4,0,47,False,devanagari,indoor,indoor_busy_background,grey_50,dim,0.9,2,latin,False,94.0,10.7,speech|bass_heavy,education,serious,75,Hinglish
reel_24600likes_AQO_x26ajIzQSPChzXMv.mp4,2026-02-20T17:35:09.859740,6.57,18,education,direct_to_camera,slow,0,,103.4,F major,unknown,unknown,0.714,0.429,0.714,108.486,100.986,3.583,62.1,slow_dramatic,8,73.4,0,47,False,devanagari,indoor,indoor_busy_background,grey_50,dim,0.9,2,latin,False,94.0,10.7,speech|bass_heavy,education,serious,75,Hinglish
reel_51500likes_AQMs6DjzH0bbhbvY3NND.mp4,2026-02-20T17:45:03.723418,9.66,0,general,text_only,slow,0,,99.4,C major,emotional_melodic,speech_over_music,0.2,0.2,1.0,46.91,51.59,2.077,63.3,slow_dramatic,6,51.6,0.0,0,False,indoor,indoor_busy_background,1.0,wetland,scenic/b-roll,54.0,person|handbag|truck,4,,0
reel_51500likes_AQMs6DjzH0bbhbvY3NND.mp4,2026-02-20T17:56:07.893835,9.66,0,general,text_only,slow,0,,99.4,C major,emotional_melodic,speech_over_music,0.2,0.2,1.0,46.91,51.59,2.077,63.3,slow_dramatic,6,51.6,0.0,0,False,indoor,indoor_busy_background,1.0,wetland,scenic/b-roll,54.0,person|handbag|truck,4,,0
reel_51500likes_AQMs6DjzH0bbhbvY3NND.mp4,2026-02-20T18:08:28.590679,9.66,0,general,text_only,slow,0,,99.4,C major,emotional_melodic,speech_over_music,0.2,0.2,1.0,46.91,51.59,2.077,63.3,slow_dramatic,6,51.6,0.0,0,False,indoor,indoor_busy_background,1.0,wetland,scenic/b-roll,54.0,person|handbag|truck,4,,0
reel_51500likes_AQMs6DjzH0bbhbvY3NND.mp4,2026-02-20T18:17:45.311498,9.66,0,general,text_only,slow,0,,99.4,C major,emotional_melodic,speech_over_music,0.2,0.2,1.0,46.91,51.59,2.077,63.3,deliberate,10,86.0,0.0,0,False,indoor,indoor_busy_background,1.0,wetland,scenic/b-roll,54.0,person|handbag|truck,4,,0
reel_54700likes_AQPzLHjsLLuTXO-0r6la.mp4,2026-02-20T18:36:04.195076,13.95,14,humor_relatable,text_only,slow,0,,136.0,D major,unknown,unknown,0.0,0.0,0.75,72.179,94.357,2.477,54.1,slow_dramatic,5,21.6,0,50,False,devanagari,outdoor,outdoor_nature,grey_50,dim,0.0,0,latin|devanagari,False,98.2,22.2,speech|music|rhythmic,comedy,playful,75,Hinglish,6,unknown,scenic/b-roll,45.9,person|bird,0.0,0.0,0.0
reel_54700likes_AQPzLHjsLLuTXO-0r6la.mp4,2026-02-20T18:56:26.831455,13.95,14,humor_relatable,text_only,slow,0,,136.0,D major,unknown,unknown,0.0,0.0,0.75,72.179,94.357,2.477,54.1,slow_dramatic,5,21.6,0,50,False,devanagari,outdoor,outdoor_nature,grey_50,dim,0.0,0,latin|devanagari,False,98.2,22.2,speech|music|rhythmic,comedy,playful,75,Hinglish,6,unknown,scenic/b-roll,45.9,person|bird,0.0,0.0,0.0
reel_324000likes_AQNI8y7T07VYbrMCss0c.mp4,2026-02-21T01:01:26.795564,14.56,14,mental_health,talking_head,slow,0,,129.2,B major,unknown,unknown,0.931,0.241,0.828,135.083,130.979,5.39,55.5,slow_dramatic,10,45.0,0,25,False,devanagari,indoor,indoor_busy_background,red_warm,dim,1.103,2,latin,False,91.4,21.3,speech|music|rhythmic,spiritual,serious,75,Hinglish,19,unknown,concert/event,62.4,person|chair,0.0,0.0,0.0
reel_324000likes_AQNI8y7T07VYbrMCss0c.mp4,2026-02-21T12:07:11.697103,14.56,34,mental_health,text_only,slow,0,meme_format,129.2,B major,unknown,unknown,0.0,0.0,0.828,135.083,130.979,5.39,55.5,slow_dramatic,10,45.0,0,25,False,devanagari,indoor,indoor_room,red_warm,dim,0.172,1,latin,91.4,21.3,speech|music|rhythmic,spiritual,serious,75,Hinglish,19,unknown,concert/event,56.7,person|chair,0.0,0.0,0.0,,
reel_324000likes_AQNI8y7T07VYbrMCss0c.mp4,2026-02-21T12:15:06.270824,14.56,34,education,text_only,slow,0,meme_format,129.2,B major,unknown,unknown,0.0,0.0,0.828,135.083,130.979,5.39,55.5,slow_dramatic,10,45.0,0,25,False,devanagari,indoor,indoor_room,red_warm,dim,0.172,1,latin,91.4,21.3,speech|music|rhythmic,education,serious,75,Hinglish,19,unknown,concert/event,56.7,person|chair,0.0,0.0,0.0,,
